date,unemp_nsa
1993-05,12.2924054900
1993-06,11.3913914700
1993-07,12.0349729100
1993-08,12.2495000600
1993-09,11.8204457700
1993-10,11.6488240500
1993-11,11.0481480400
1993-12,10.6190937500
1994-01,12.7000070700
1994-02,12.7429125000
1994-03,13.5366629400
1994-04,12.4425744900
1994-05,11.9062566300
1994-06,12.5712907800
1994-07,12.4211217800
1994-08,12.5498380700
1994-09,11.3699387600
1994-10,10.4045666000
1994-11,9.2032145810
1994-12,8.1091261340
1995-01,10.0184177400
1995-02,9.6108161590
1995-03,10.2329448800
1995-04,10.0184177400
1995-05,10.1042286000
1995-06,10.4903774600
1995-07,11.1125061800
1995-08,11.1768643300
1995-09,11.7131821900
1995-10,11.4772023300
1995-11,11.1554116100
1995-12,10.6190937500
1996-01,11.9277093400
1996-02,13.3435885100
1996-03,14.4376769500
1996-04,13.9013590900
1996-05,13.6010210800
1996-06,13.4723047900
1996-07,12.7858179300
1996-08,12.8287233600
1996-09,12.0778783400
1996-10,11.6059186200
1996-11,10.4474720300
1996-12,9.1174037230
1997-01,11.7775403400
1997-02,12.7429125000
1997-03,13.6010210800
1997-04,13.1505140800
1997-05,13.7082846600
1997-06,14.5878459600
1997-07,13.9871699500
1997-08,13.7726428000
1997-09,13.1505140800
1997-10,13.3221357900
1997-11,12.4640272100
1997-12,11.8633512000
1998-01,17.0334554300
1998-02,18.0202803000
1998-03,19.1572741700
1998-04,19.0929160300
1998-05,19.0500106000
1998-06,18.6853144500
1998-07,18.7496726000
1998-08,18.1919020200
1998-09,17.6984895800
1998-10,17.2050771400
1998-11,16.6473065600
1998-12,15.2957855400
1999-01,18.1060911600
1999-02,18.1489965900
1999-03,19.1358214600
1999-04,18.8354834600
1999-05,17.9559221500
1999-06,18.0202803000
1999-07,17.4196042900
1999-08,17.8915640100
1999-09,17.0849419400
1999-10,17.5054151500
1999-11,17.1750433400
1999-12,15.2442990200
2000-01,17.9173072700
2000-02,19.1014971200
2000-03,19.3696560500
2000-04,18.1532871300
2000-05,18.1168175100
2000-06,17.4260401000
2000-07,16.8425262700
2000-08,16.6687592800
2000-09,15.7312756500
2000-10,16.0895359800
2000-11,14.5835554100
2000-12,11.9641789600
2001-01,13.4723047900
2001-02,13.7468995400
2001-03,14.9053461300
2001-04,15.0276266100
2001-05,16.2010901000
2001-06,14.9246535800
2001-07,14.4505485800
2001-08,14.5899912300
2001-09,14.4998898300
2001-10,15.2872044500
2001-11,15.0018833500
2001-12,13.7855144300
2002-01,16.1131339700
2002-02,16.7138099800
2002-03,16.6451612900
2002-04,16.1290322600
2002-05,15.3548387100
2002-06,14.9677419400
2002-07,15.3548387100
2002-08,15.0967741900
2002-09,14.8387096800
2002-10,14.4516129000
2002-11,14.0645161300
2002-12,13.5483871000
2003-01,14.4516129000
2003-02,14.9677419400
2003-03,15.6129032300
2003-04,16.0000000000
2003-05,16.6451612900
2003-06,16.7741935500
2003-07,16.5161290300
2003-08,16.7741935500
2003-09,16.7741935500
2003-10,16.6451612900
2003-11,15.7419354800
2003-12,14.0645161300
2004-01,15.0967741900
2004-02,15.4838709700
2004-03,16.5161290300
2004-04,16.9032258100
2004-05,15.7419354800
2004-06,15.0967741900
2004-07,14.4516129000
2004-08,14.7096774200
2004-09,14.0645161300
2004-10,13.5483871000
2004-11,13.8064516100
2004-12,12.3870967700
2005-01,13.1612903200
2005-02,13.8064516100
2005-03,13.9354838700
2005-04,13.9354838700
2005-05,13.1612903200
2005-06,12.1290322600
2005-07,12.1290322600
2005-08,12.1290322600
2005-09,12.3870967700
2005-10,12.3870967700
2005-11,12.3870967700
2005-12,10.8387096800
2006-01,12.0000000000
2006-02,13.0322580600
2006-03,13.4193548400
2006-04,13.4193548400
2006-05,13.1612903200
2006-06,13.4193548400
2006-07,13.8064516100
2006-08,13.6774193500
2006-09,12.9032258100
2006-10,12.6451612900
2006-11,12.2580645200
2006-12,10.8387096800
2007-01,12.0000000000
2007-02,12.7741935500
2007-03,13.1612903200
2007-04,13.1612903200
2007-05,13.1612903200
2007-06,12.5161290300
2007-07,12.2580645200
2007-08,12.2580645200
2007-09,11.6129032300
2007-10,11.2258064500
2007-11,10.5806451600
2007-12,9.5483870970
2008-01,10.3225806500
2008-02,11.2258064500
2008-03,11.0967741900
2008-04,10.9677419400
2008-05,10.1935483900
2008-06,10.0645161300
2008-07,10.4516129000
2008-08,9.8064516130
2008-09,9.9354838710
2008-10,9.6774193550
2008-11,9.8064516130
2008-12,8.7741935480
2009-01,10.5806451600
2009-02,10.9677419400
2009-03,11.6129032300
2009-04,11.4838709700
2009-05,11.3548387100
2009-06,10.4516129000
2009-07,10.3225806500
2009-08,10.4516129000
2009-09,9.9354838710
2009-10,9.6774193550
2009-11,9.4193548390
2009-12,8.7741935480
2010-01,9.2903225810
2010-02,9.5483870970
2010-03,9.8064516130
2010-04,9.4193548390
2010-05,9.5483870970
2010-06,9.0322580650
2010-07,8.9032258060
2010-08,8.6451612900
2010-09,8.0000000000
2010-10,7.7419354840
2010-11,7.3548387100
2010-12,6.8387096770
2011-01,7.7419354840
2011-02,8.1290322580
2011-03,8.2580645160
2011-04,8.2580645160
2011-05,8.1290322580
2011-06,8.0000000000
2011-07,7.7419354840
2011-08,7.7419354840
2011-09,7.7419354840
2011-10,7.3548387100
2011-11,6.7096774190
2011-12,6.0645161290
2012-01,7.0967741940
2012-02,7.3548387100
